OrderDate,OrderNumber,IDProduct,IDLocation,OrderLineItem,OrderQuantity,PaymentMethod,IDCustomer
2023-09-22,O022108,155,2,1,2,Google Pay,C08266
2023-08-23,O020806,209,1,1,1,PayPal,C14088
2023-08-23,O020806,258,1,2,1,PayPal,C14088
2023-03-03,O013456,172,7,1,1,Credit Card,C12512
2023-03-03,O013456,68,7,2,1,Credit Card,C12512
2023-04-10,O015050,258,3,1,2,Credit Card,C16764
2023-08-29,O021077,174,6,1,2,PayPal,C09293
2023-08-29,O021077,94,6,2,2,PayPal,C09293
2023-09-18,O021938,101,8,1,1,PayPal,C04284
2023-01-13,O011291,198,8,1,1,Credit Card,C10404
2023-01-13,O011291,259,8,2,2,Credit Card,C10404
2023-10-19,O023294,225,7,1,1,Apple Pay,C12955
2023-01-05,O010932,75,4,1,1,Google Pay,C07382
2023-01-05,O010932,51,4,2,1,Google Pay,C07382
2023-10-01,O022526,198,7,1,2,Credit Card,C08335
2023-10-01,O022526,194,7,2,1,Credit Card,C08335
2023-08-05,O020048,267,6,1,1,PayPal,C05568
2023-06-10,O017613,128,5,1,1,Google Pay,C16013
2023-06-10,O017613,226,5,2,1,Google Pay,C16013
2023-11-15,O024470,113,3,1,1,PayPal,C13163
2023-03-30,O014604,226,3,1,1,Credit Card,C07804
2023-03-30,O014604,243,3,2,1,Credit Card,C07804
2023-01-29,O011940,196,5,1,1,Credit Card,C10406
2023-09-14,O021757,221,6,1,1,Apple Pay,C02847
2023-02-24,O013132,55,5,1,2,Credit Card,C14700
2023-02-24,O013132,90,5,2,2,Credit Card,C14700
2023-02-23,O013084,92,7,1,2,Credit Card,C01312
2023-06-02,O017282,143,4,1,1,PayPal,C06528
2023-02-06,O012319,95,9,1,2,PayPal,C06214
2023-05-05,O016081,90,6,1,1,PayPal,C07650
2023-05-05,O016081,223,6,2,1,PayPal,C07650
2023-02-16,O012758,45,6,1,1,PayPal,C12780
2023-12-15,O025780,75,6,1,1,PayPal,C13516
2023-04-19,O015437,138,7,1,1,PayPal,C05398
2023-09-27,O022343,99,4,1,1,Apple Pay,C01086
2023-07-08,O018852,215,2,1,1,Apple Pay,C10469
2023-10-23,O023464,158,7,1,1,Credit Card,C11759
2023-10-23,O023464,65,7,2,2,Credit Card,C11759
2023-08-03,O019957,210,4,1,1,Google Pay,C00607
2023-08-03,O019957,14,4,2,2,Google Pay,C00607
2023-05-30,O017141,105,4,1,1,Credit Card,C06688
2023-05-30,O017141,121,4,2,1,Credit Card,C06688
2023-01-26,O011817,272,9,1,5,Credit Card,C02275
2023-01-26,O011817,4,9,2,1,Credit Card,C02275
2023-10-02,O022565,77,4,1,1,Credit Card,C07359
2023-07-31,O019835,44,6,1,1,PayPal,C14950
2023-07-31,O019835,44,6,2,2,PayPal,C14950
2023-10-30,O023767,170,6,1,1,Google Pay,C16511
2023-02-01,O012058,207,4,1,2,Credit Card,C17517
2023-08-06,O020096,132,5,1,1,Google Pay,C14871
2023-02-16,O012759,251,6,1,1,Credit Card,C08592
2023-02-16,O012759,233,6,2,1,Credit Card,C08592
2023-10-01,O022527,193,7,1,1,Google Pay,C02700
2023-10-01,O022527,43,7,2,2,Google Pay,C02700
2023-11-17,O024555,22,10,1,2,Credit Card,C00144
2023-04-16,O015309,212,4,1,1,Google Pay,C15370
2023-05-03,O016003,196,6,1,1,PayPal,C01243
2023-07-18,O019311,117,4,1,1,Credit Card,C16228
2023-01-31,O012008,205,5,1,1,Credit Card,C13704
2023-01-31,O012008,129,5,2,2,Credit Card,C13704
2023-10-07,O022780,206,4,1,1,Credit Card,C10717
2023-10-07,O022780,147,4,2,1,Credit Card,C10717
2023-09-10,O021590,266,4,1,1,Credit Card,C02540
2023-09-10,O021590,237,4,2,5,Credit Card,C02540
2023-10-06,O022734,114,5,1,1,Apple Pay,C07870
2023-06-27,O018369,47,5,1,2,Credit Card,C11167
2023-09-19,O021985,132,5,1,2,Credit Card,C16255
2023-05-02,O015951,267,9,1,1,PayPal,C17039
2023-07-12,O019032,238,5,1,1,Credit Card,C10792
2023-01-10,O011165,46,6,1,1,Credit Card,C00813
2023-12-10,O025574,242,9,1,1,Credit Card,C09622
2023-03-09,O013659,132,9,1,1,Credit Card,C06327
2023-08-12,O020355,54,6,1,2,PayPal,C05041
2023-08-12,O020355,148,6,2,4,PayPal,C05041
2023-12-07,O025438,116,4,1,2,PayPal,C17406
2023-04-02,O014726,17,4,1,1,Apple Pay,C15405
2023-04-02,O014726,145,4,2,1,Apple Pay,C15405
2023-11-20,O024677,19,3,1,1,Credit Card,C01417
2023-02-19,O012882,45,4,1,2,Credit Card,C11595
2023-02-19,O012882,196,4,2,2,Credit Card,C11595
2023-07-23,O019510,169,5,1,2,Apple Pay,C15287
2023-04-23,O015609,170,8,1,2,Apple Pay,C10505
2023-02-13,O012618,65,4,1,5,Credit Card,C12762
2023-02-13,O012618,205,4,2,2,Credit Card,C12762
