OrderDate,OrderNumber,IDProduct,IDLocation,OrderLineItem,OrderQuantity,PaymentMethod,IDCustomer
2022-05-16,O004003,137,9,1,1,PayPal,C10037
2022-05-31,O004438,233,5,1,2,Credit Card,C05628
2022-03-09,O002024,126,8,1,1,Apple Pay,C12891
2022-04-24,O003372,258,4,1,2,Credit Card,C16093
2022-12-27,O010642,62,5,1,2,PayPal,C16226
2022-12-27,O010642,244,5,2,1,PayPal,C16226
2022-09-07,O007401,52,6,1,1,Credit Card,C10877
2022-06-15,O004883,185,4,1,2,Credit Card,C03806
2022-12-03,O010011,64,3,1,1,Credit Card,C07916
2022-08-05,O006408,46,3,1,1,Credit Card,C08514
2022-01-31,O000843,49,2,1,1,PayPal,C06905
2022-01-31,O000843,257,2,2,1,PayPal,C06905
2022-03-06,O001932,226,10,1,1,Google Pay,C10103
2022-03-06,O001932,119,10,2,1,Google Pay,C10103
2022-03-07,O001958,107,4,1,2,Credit Card,C04068
2022-09-11,O007523,121,9,1,1,Credit Card,C03791
2022-03-04,O001877,231,7,1,1,Credit Card,C12429
2022-02-26,O001683,79,6,1,2,Credit Card,C00134
2022-03-23,O002434,225,10,1,1,Credit Card,C00128
2022-09-22,O007851,174,2,1,2,PayPal,C11349
2022-09-28,O008026,27,5,1,1,PayPal,C10860
2022-09-28,O008026,54,5,2,1,PayPal,C10860
2022-09-28,O008026,274,5,3,1,PayPal,C10860
2022-03-12,O002115,270,6,1,2,PayPal,C01303
2022-08-09,O006519,54,2,1,2,PayPal,C01606
2022-08-09,O006519,214,2,2,2,PayPal,C01606
2022-08-18,O006789,193,4,1,2,PayPal,C10289
2022-12-23,O010583,275,7,1,1,Credit Card,C01838
2022-04-10,O002951,172,4,1,1,Google Pay,C12095
2022-04-06,O002833,274,6,1,1,Credit Card,C05144
2022-01-16,O000412,131,5,1,1,Credit Card,C10867
2022-01-16,O000412,219,5,2,1,Credit Card,C10867
2022-11-17,O009499,276,10,1,1,Credit Card,C02366
2022-11-17,O009499,89,10,2,1,Credit Card,C02366
2022-08-09,O006520,186,4,1,1,Apple Pay,C13970
